# Number of tests that failed:   0
# Number of tests that were run: 12
# Total test runtime: 00 hours : 00 minutes : 04 seconds
# BioLockJ jar file: /Users/ieclabau/git/BioLockJ/dist/BioLockJ.jar
# SHEP_DATA: sheepdog_testing_suite
ConfigFile	Flags	Environment	PipelineDirectory	NumberCompletedModules	ExpectedOutcome	Observed	Pass/Fail	Notes
/Users/ieclabau/git/sheepdog_testing_suite/test/module/validationUtil/part1_noExpectation/rarifySeqs.properties			/Users/ieclabau/git/sheepdog_testing_suite/MockMain/pipelines/rarifySeqs_2019Jul01	5	BioLockJ_Complete	BioLockJ_Complete	PASS	"part1 - no expectation file, no validation configurations"
/Users/ieclabau/git/sheepdog_testing_suite/test/module/validationUtil/part2_goodExp/rarifySeqs.properties			/Users/ieclabau/git/sheepdog_testing_suite/MockMain/pipelines/rarifySeqs_2_2019Jul01	5	BioLockJ_Complete	BioLockJ_Complete	PASS	"part2 - expectation folder from part 1, otherwise, no validation configurations"
/Users/ieclabau/git/sheepdog_testing_suite/test/module/validationUtil/part3_badFormatExp/rarifySeqs.properties			/Users/ieclabau/git/sheepdog_testing_suite/MockMain/pipelines/rarifySeqs_3_2019Jul01	0	ExpectationFileFormatException	ExpectationFileFormatException	PASS	"part3 - In 02_RarefySeqs_validation.txt, the ""name"" column was renamed to ""File""."
/Users/ieclabau/git/sheepdog_testing_suite/test/module/validationUtil/part4_missingExp/rarifySeqs.properties			/Users/ieclabau/git/sheepdog_testing_suite/MockMain/pipelines/rarifySeqs_4_2019Jul01	0	ConfigPathException	ConfigPathException	PASS	part4 - validation file missing for module 2
/Users/ieclabau/git/sheepdog_testing_suite/test/module/validationUtil/part5_validationExcept_passModule/rarifySeqs.properties			/Users/ieclabau/git/sheepdog_testing_suite/MockMain/pipelines/rarifySeqs_5_2019Jul01	0	ValidationException	ValidationException	PASS	"part5 - pass the rarifyer module dispite FAILED files, then fail in seqFileVal module (should finish 3 modules)"
/Users/ieclabau/git/sheepdog_testing_suite/test/module/validationUtil/part6_limitComparOn/rarifySeqs.properties			/Users/ieclabau/git/sheepdog_testing_suite/MockMain/pipelines/rarifySeqs_6_2019Jul01	5	BioLockJ_Complete	BioLockJ_Complete	PASS	"part6 - compareOn name only; RarefySeqs output should have name, size, md5; SeqFileValidator should have name and md5 (no size); Multiplexer should only report name; all report MATCHED"
/Users/ieclabau/git/sheepdog_testing_suite/test/module/validationUtil/part7_limitReportOn_compareOn/rarifySeqs.properties			/Users/ieclabau/git/sheepdog_testing_suite/MockMain/pipelines/rarifySeqs_7_2019Jul01	5	BioLockJ_Complete	BioLockJ_Complete	PASS	part7 - use separate validation file for module 2; check logs to see that module 3 comparison does not include size; module 4 comparison does not include md5.
/Users/ieclabau/git/sheepdog_testing_suite/test/module/validationUtil/part8_badAttribute/rarifySeqs.properties			/Users/ieclabau/git/sheepdog_testing_suite/MockMain/pipelines/rarifySeqs_8_2019Jul01	0	ConfigViolationException	ConfigViolationException	PASS	part8 - badAttribute
/Users/ieclabau/git/sheepdog_testing_suite/test/module/validationUtil/part9_softValidation/rarifySeqs.properties			/Users/ieclabau/git/sheepdog_testing_suite/MockMain/pipelines/rarifySeqs_9_2019Jul01	0	ValidationException	ValidationException	PASS	"part9 - soft validation; fail in module 04; check that the individual files in 02, 03, and 04 pass/fail as expected; see expectation file"
/Users/ieclabau/git/sheepdog_testing_suite/test/module/validationUtil/part10_fileNotListed/rarifySeqs.properties			/Users/ieclabau/git/sheepdog_testing_suite/MockMain/pipelines/rarifySeqs_10_2019Jul01	0	ValidationException	ValidationException	PASS	part 10 - fail in 03
/Users/ieclabau/git/sheepdog_testing_suite/test/module/validationUtil/part11_extraFileListed/rarifySeqs.properties			/Users/ieclabau/git/sheepdog_testing_suite/MockMain/pipelines/rarifySeqs_11_2019Jul01	0	ValidationException	ValidationException	PASS	part 11 - fail in 04
/Users/ieclabau/git/sheepdog_testing_suite/test/module/validationUtil/part9b_badSizes/rarifySeqs.properties			/Users/ieclabau/git/sheepdog_testing_suite/MockMain/pipelines/rarifySeqs_12_2019Jul01	0	ValidationException	ValidationException	PASS	part9b - verify that all messed up files fail when soft validation is not permitted;  stop in module 04;
