ERR1456827.100	-	Bacteria	domain	0.96	"Actinobacteria"	phylum	0.64	Actinobacteria	class	0.64	Gaiellales	order	0.33	Gaiellaceae	family	0.33	Gaiella	genus	0.33
ERR1456827.200	-	Bacteria	domain	1.0	"Actinobacteria"	phylum	0.95	Actinobacteria	class	0.95	Actinomycetales	order	0.95	Mycobacteriaceae	family	0.22	Hoyosella	genus	0.22
ERR1456827.300	-	Bacteria	domain	1.0	"Proteobacteria"	phylum	0.97	Alphaproteobacteria	class	0.92	Rhizobiales	order	0.64	Beijerinckiaceae	family	0.48	Methyloferula	genus	0.44
ERR1456827.400	-	Bacteria	domain	0.93	"Acidobacteria"	phylum	0.18	Acidobacteria_Gp3	class	0.18	Candidatus Solibacter	order	0.13	Candidatus Solibacter	family	0.13	Candidatus Solibacter	genus	0.13
ERR1456827.500	-	Bacteria	domain	0.99	"Actinobacteria"	phylum	0.69	Actinobacteria	class	0.69	Actinomycetales	order	0.64	Pseudonocardiaceae	family	0.14	Thermotunica	genus	0.07
ERR1456827.600	-	Bacteria	domain	1.0	"Actinobacteria"	phylum	1.0	Actinobacteria	class	1.0	Actinomycetales	order	1.0	Intrasporangiaceae	family	0.9	Humibacillus	genus	0.24
ERR1456827.700	-	Bacteria	domain	0.97	"Acidobacteria"	phylum	0.23	Acidobacteria_Gp3	class	0.23	Bryobacter	order	0.1	Bryobacter	family	0.1	Bryobacter	genus	0.1
ERR1456827.800	-	Bacteria	domain	1.0	"Actinobacteria"	phylum	0.98	Actinobacteria	class	0.98	Actinomycetales	order	0.97	Micrococcaceae	family	0.82	Renibacterium	genus	0.46
ERR1456827.900	-	Bacteria	domain	1.0	"Actinobacteria"	phylum	1.0	Actinobacteria	class	1.0	Actinomycetales	order	1.0	Intrasporangiaceae	family	0.86	Terracoccus	genus	0.3
ERR1456827.1000	-	Bacteria	domain	0.87	"Actinobacteria"	phylum	0.48	Actinobacteria	class	0.48	Actinomycetales	order	0.46	Dermatophilaceae	family	0.16	Mobilicoccus	genus	0.09
ERR1456827.1100	-	Bacteria	domain	0.98	"Proteobacteria"	phylum	0.52	Gammaproteobacteria	class	0.19	Chromatiales	order	0.1	Chromatiaceae	family	0.1	Thermochromatium	genus	0.01
ERR1456827.1200	-	Bacteria	domain	1.0	"Acidobacteria"	phylum	0.54	Acidobacteria_Gp4	class	0.54	Blastocatella	order	0.43	Blastocatella	family	0.43	Blastocatella	genus	0.43
ERR1456827.1300	-	Bacteria	domain	0.99	"Gemmatimonadetes"	phylum	0.35	Gemmatimonadetes	class	0.35	Gemmatimonadales	order	0.35	Gemmatimonadaceae	family	0.35	Gemmatimonas	genus	0.35
ERR1456827.1400	-	Bacteria	domain	0.96	"Chloroflexi"	phylum	0.63	Ktedonobacteria	class	0.62	Ktedonobacterales	order	0.6	Ktedonobacteraceae	family	0.6	Ktedonobacter	genus	0.6
ERR1456827.1500	-	Bacteria	domain	0.98	"Actinobacteria"	phylum	0.74	Actinobacteria	class	0.74	Gaiellales	order	0.63	Gaiellaceae	family	0.63	Gaiella	genus	0.63
ERR1456827.1600	-	Bacteria	domain	0.99	"Actinobacteria"	phylum	0.92	Actinobacteria	class	0.92	Actinomycetales	order	0.91	Beutenbergiaceae	family	0.15	Salana	genus	0.1
ERR1456827.1700	-	Bacteria	domain	0.94	"Acidobacteria"	phylum	0.51	Acidobacteria_Gp2	class	0.49	Gp2	order	0.49	Gp2	family	0.49	Gp2	genus	0.49
ERR1456827.1800	-	Bacteria	domain	0.98	Firmicutes	phylum	0.2	Clostridia	class	0.17	Clostridiales	order	0.15	Syntrophomonadaceae	family	0.07	Syntrophothermus	genus	0.07
ERR1456827.1900	-	Bacteria	domain	1.0	"Proteobacteria"	phylum	0.81	Alphaproteobacteria	class	0.61	Rhizobiales	order	0.5	Roseiarcaceae	family	0.22	Roseiarcus	genus	0.22
ERR1456827.2000	-	Bacteria	domain	1.0	"Verrucomicrobia"	phylum	0.13	Opitutae	class	0.09	Opitutales	order	0.09	Opitutaceae	family	0.09	Opitutus	genus	0.09
ERR1456827.2100	-	Bacteria	domain	0.95	"Chloroflexi"	phylum	0.12	Caldilineae	class	0.06	Caldilineales	order	0.06	Caldilineaceae	family	0.06	Litorilinea	genus	0.06
ERR1456827.2200	-	Bacteria	domain	0.91	"Proteobacteria"	phylum	0.57	Alphaproteobacteria	class	0.42	Rhodospirillales	order	0.35	Rhodospirillaceae	family	0.18	Nitrospirillum	genus	0.17
ERR1456827.2300	-	Bacteria	domain	1.0	"Proteobacteria"	phylum	0.87	Betaproteobacteria	class	0.84	Burkholderiales	order	0.37	Oxalobacteraceae	family	0.18	Rugamonas	genus	0.17
