"OTU"	"Location"	"Soil Type"	"Hit_Ratio"	"Num_Valid_Reads"	"postRareQ50_otuCount"
"Acidobacteria_Gp1"	0.0114227465749117	0.0114227465749117	0.504887269602882	0.332137420773506	1
"Acidobacteria_Gp16"	0.0387714890721913	0.0387714890721913	0.608960160842309	0.474442934989929	1
"Acidobacteria_Gp25"	0.288834212073429	0.288834212073429	0.504887269602882	0.371822706040214	1
"Acidobacteria_Gp3"	0.0114227465749117	0.0114227465749117	0.504887269602882	0.332137420773506	1
"Acidobacteria_Gp4"	0.62245892791291	0.62245892791291	0.824966589609782	0.527765472730001	1
"Acidobacteria_Gp5"	0.0994052373876911	0.0994052373876911	0.464992389082909	0.331208440992567	1
"Acidobacteria_Gp6"	0.0163413069248293	0.0163413069248293	0.824966589609782	0.332137420773506	1
"Acidobacteria_Gp7"	0.707357470135145	0.707357470135145	0.824966589609782	1	1
"Actinobacteria"	0.0349581528392286	0.0349581528392286	0.464992389082909	0.263765153940767	0.929984778165817
"Alphaproteobacteria"	0.00120560759516168	0.00120560759516168	0.464992389082909	0.263765153940767	1
"Bacilli"	0.115088797208243	0.115088797208243	0.608960160842309	0.773406177759171	1
"Betaproteobacteria"	0.0251238307715766	0.0251238307715766	0.504887269602882	0.332137420773506	1
"Chlamydiia"	0.484365328159239	0.484365328159239	1	0.773406177759171	1
"Chloroflexia"	0.604589166578798	0.604589166578798	1	0.474442934989929	0.929984778165817
"Clostridia"	0.259649471154728	0.259649471154728	0.464992389082909	0.527765472730001	1
"Cytophagia"	0.210694882960898	0.210694882960898	0.957771232051234	0.371822706040214	1
"Deltaproteobacteria"	0.484365328159239	0.484365328159239	1	0.413089584220539	0.929984778165817
"Gammaproteobacteria"	0.0994052373876911	0.0994052373876911	0.608960160842309	0.413089584220539	1
"Gemmatimonadetes"	0.0251238307715766	0.0251238307715766	0.464992389082909	0.263765153940767	1
"Ktedonobacteria"	0.0163413069248293	0.0163413069248293	0.504887269602882	0.527765472730001	1
"Nitrososphaerales"	0.343824180936578	0.343824180936578	0.464992389082909	0.413089584220539	1
"Nitrospira"	0.210694882960898	0.210694882960898	0.464992389082909	0.263765153940767	1
"Planctomycetia"	0.343824180936578	0.343824180936578	0.608960160842309	0.413089584220539	1
"Saccharibacteria_genera_incertae_sedis"	0.021231045525617	0.021231045525617	0.504887269602882	0.474442934989929	1
"Spartobacteria"	0.0114227465749117	0.0114227465749117	0.608960160842309	0.263765153940767	1
"Sphingobacteriia"	0.015185575113038	0.015185575113038	0.464992389082909	0.371822706040214	1
"Subdivision3"	0.655231160679985	0.655231160679985	1	1	1
"Unclassified Acidobacteria Phylum"	0.876716387994387	0.876716387994387	0.608960160842309	1	1
"Unclassified Actinobacteria Phylum"	0.0158033119782909	0.0158033119782909	0.504887269602882	0.527765472730001	1
"Unclassified Bacteroidetes Phylum"	0.210694882960898	0.210694882960898	0.608960160842309	0.263765153940767	0.929984778165817
"Unclassified Chloroflexi Phylum"	0.210694882960898	0.210694882960898	0.608960160842309	0.263765153940767	0.929984778165817
"Unclassified Firmicutes Phylum"	0.0438035701233384	0.0438035701233384	0.464992389082909	0.332137420773506	1
"Unclassified Proteobacteria Phylum"	0.210694882960898	0.210694882960898	0.824966589609782	0.527765472730001	1
"Unclassified Verrucomicrobia Phylum"	0.0349581528392286	0.0349581528392286	0.464992389082909	0.413089584220539	1
"WPS-1_genera_incertae_sedis"	0.165319952705845	0.165319952705845	0.504887269602882	0.263765153940767	1
