"OTU"	"Location"	"Soil Type"	"Hit_Ratio"	"Num_Valid_Reads"	"postRareQ50_otuCount"
"Acidobacteria_Gp1"	0.0495346134356267	0.0495346134356267	0.0841402851605804	0.0557080548069124	0.182871427447649
"Acidobacteria_Gp16"	0.04630159491511	0.04630159491511	0.251885813091387	0.17200763738469	0.25896887826342
"Acidobacteria_Gp25"	0.121335250358482	0.121335250358482	0.013859782515671	0.0759676483179556	0.372028240108887
"Acidobacteria_Gp3"	0.0495346134356267	0.0495346134356267	0.128624408289758	0.0624104829130243	0.148455690644736
"Acidobacteria_Gp4"	0.512690760261923	0.512690760261923	0.305370485320139	0.394627066260003	0.661340311674149
"Acidobacteria_Gp5"	0.04630159491511	0.04630159491511	0.103137838507991	0.10393085972061	0.267867737707701
"Acidobacteria_Gp6"	0.0495346134356267	0.0495346134356267	0.114789430500806	0.0366965490294791	0.102112785709265
"Acidobacteria_Gp7"	0.512690760261923	0.512690760261923	0.853662292590851	0.51106414627963	0.346059664539241
"Actinobacteria"	0.0495346134356267	0.0495346134356267	0.0352068267284747	0.00502307239755304	0.0720040588943266
"Alphaproteobacteria"	0.0495346134356267	0.0495346134356267	0.097378594278105	0.0448930806869465	0.137385260149671
"Bacilli"	0.0495346134356267	0.0495346134356267	0.507033028372648	0.288112943909201	0.26752574132097
"Betaproteobacteria"	0.0495346134356267	0.0495346134356267	0.0385938517912102	0.031200625694861	0.170405525813053
"Chlamydiia"	0.275233524074834	0.275233524074834	0.643259332346483	0.210087484035574	0.0830596990408611
"Chloroflexia"	0.375825087488698	0.375825087488698	0.84351923902763	0.3480083404958	0.0406238045413779
"Clostridia"	0.275233524074834	0.275233524074834	0.0670836753435605	0.418401572947908	0.995764588166599
"Cytophagia"	0.121183272837463	0.121183272837463	0.60461100681372	0.314828062800026	0.237288944938833
"Deltaproteobacteria"	0.275233524074834	0.275233524074834	0.425060524224934	0.207751408084382	0.223598833908639
"Gammaproteobacteria"	0.0495346134356267	0.0495346134356267	0.194518030143075	0.11906430453523	0.205341289892913
"Gemmatimonadetes"	0.0495346134356267	0.0495346134356267	0.0365131601274097	0.084318171830565	0.340854433936854
"Ktedonobacteria"	0.0495346134356267	0.0495346134356267	0.192519462400453	0.158835442464343	0.291541626272908
"Nitrososphaerales"	0.275233524074834	0.275233524074834	0.292383956322668	0.212140899863827	0.296203772729207
"Nitrospira"	0.0495346134356267	0.0495346134356267	0.0396717585524122	0.0650546187517391	0.282649160353932
"Planctomycetia"	0.126630457947617	0.126630457947617	0.393504189254364	0.0986482048434362	0.0534849191226176
"Saccharibacteria_genera_incertae_sedis"	0.0369039536137182	0.0369039536137182	0.104626613006518	0.0966426793719188	0.258805730518058
"Spartobacteria"	0.0495346134356267	0.0495346134356267	0.125655356774828	0.0502050423918097	0.127895372691487
"Sphingobacteriia"	0.04630159491511	0.04630159491511	0.135490317358516	0.0837460684118365	0.193799620866466
"Subdivision3"	0.827259346562711	0.827259346562711	0.559511521179725	0.853302252743386	0.843434600847216
"Unclassified Acidobacteria Phylum"	0.827259346562711	0.827259346562711	0.396166551917715	0.930943942145671	0.37284666461329
"Unclassified Actinobacteria Phylum"	0.0495346134356267	0.0495346134356267	0.100552703872933	0.0904446325730063	0.249094949181324
"Unclassified Bacteroidetes Phylum"	0.126630457947617	0.126630457947617	0.0224581446970466	0.0228594814086754	0.166836914262754
"Unclassified Chloroflexi Phylum"	0.126630457947617	0.126630457947617	0.141267421793719	0.0435423699238119	0.102739645158867
"Unclassified Firmicutes Phylum"	0.0495346134356267	0.0495346134356267	0.0975964916957995	0.137146056782367	0.36680861514281
"Unclassified Proteobacteria Phylum"	0.126630457947617	0.126630457947617	0.545563216907197	0.432746903379326	0.451573959457011
"Unclassified Verrucomicrobia Phylum"	0.0495346134356267	0.0495346134356267	0.113383243578192	0.140659938677844	0.35296004619432
"WPS-1_genera_incertae_sedis"	0.0495346134356267	0.0495346134356267	0.37104029312862	0.15451237332485	0.156822027517498
