"OTU"	"Location"	"Soil Type"	"Hit_Ratio"	"Num_Valid_Reads"	"postRareQ50_otuCount"
"Acidobacteria_Gp1"	0.00107168073560701	0.00107168073560701	0.259656310081482	0.132854968309402	0.707114219665527
"Acidobacteria_Gp16"	0.0155085956288765	0.0155085956288765	0.338887810707092	0.338887810707092	1
"Acidobacteria_Gp25"	0.214562557540261	0.214562557540261	0.176067516207695	0.176067471504211	0.651998519897461
"Acidobacteria_Gp3"	0.00130545675141848	0.00130545675141848	0.259656310081482	0.132854968309402	0.707114219665527
"Acidobacteria_Gp4"	0.569105305520375	0.569105305520375	0.707114219665527	0.452370405197144	0.707114219665527
"Acidobacteria_Gp5"	0.04567864728092	0.04567864728092	0.0851679071784019	0.0851678848266602	0.566090226173401
"Acidobacteria_Gp6"	0.00335378935880246	0.00335378935880246	0.707114219665527	0.13285493850708	0.707114219665527
"Acidobacteria_Gp7"	0.687147256702713	0.687147256702713	0.707114219665527	1	0.452370345592499
"Actinobacteria"	0.0129844567688563	0.0129844567688563	0.13285493850708	0.00853492133319378	0.132854968309402
"Alphaproteobacteria"	3.44459312903336e-05	3.44459312903336e-05	0.132854968309402	0.0602891445159912	0.452370405197144
"Bacilli"	0.0591885242785248	0.0591885242785248	0.452370405197144	0.707114219665527	0.707114219665527
"Betaproteobacteria"	0.00789606109963836	0.00789606109963836	0.259656310081482	0.132854968309402	0.707114219665527
"Chlamydiia"	0.415170281279348	0.415170281279348	1	0.707114219665527	1
"Chloroflexia"	0.535493261826935	0.535493261826935	1	0.338887810707092	0.0851679071784019
"Clostridia"	0.185463907967663	0.185463907967663	0.0602891780436039	0.452370405197144	1
"Cytophagia"	0.144476491173187	0.144476491173187	0.84831166267395	0.180599600076675	0.338887810707092
"Deltaproteobacteria"	0.406805527781346	0.406805527781346	1	0.259656310081482	0.13285493850708
"Gammaproteobacteria"	0.0482825438740214	0.0482825438740214	0.452370345592499	0.259656310081482	1
"Gemmatimonadetes"	0.0076775532001496	0.0076775532001496	0.13285493850708	0.0602891780436039	0.452370345592499
"Ktedonobacteria"	0.00373515586853242	0.00373515586853242	0.259656310081482	0.452370345592499	1
"Nitrososphaerales"	0.273795432564183	0.273795432564183	0.13285493850708	0.259656310081482	1
"Nitrospira"	0.140551419005904	0.140551419005904	0.0602891445159912	0.0241705514490604	0.259656310081482
"Planctomycetia"	0.275059344749263	0.275059344749263	0.452370345592499	0.259656310081482	1
"Saccharibacteria_genera_incertae_sedis"	0.00545941170658723	0.00545941170658723	0.158708691596985	0.314062535762787	1
"Spartobacteria"	0.000968655041612464	0.000968655041612464	0.452370345592499	0.0602891445159912	0.452370405197144
"Sphingobacteriia"	0.00216936787329114	0.00216936787329114	0.0851678848266602	0.180599600076675	0.84831166267395
"Subdivision3"	0.6177893800697	0.6177893800697	1	1	0.707114219665527
"Unclassified Acidobacteria Phylum"	0.876716387994387	0.876716387994387	0.452370405197144	1	0.707114219665527
"Unclassified Actinobacteria Phylum"	0.00270913919627845	0.00270913919627845	0.259656310081482	0.452370405197144	1
"Unclassified Bacteroidetes Phylum"	0.143546012019086	0.143546012019086	0.452370405197144	0.0602891780436039	0.132854968309402
"Unclassified Chloroflexi Phylum"	0.142383694334897	0.142383694334897	0.452370405197144	0.0602891780436039	0.132854968309402
"Unclassified Firmicutes Phylum"	0.0187729586242879	0.0187729586242879	0.0602891445159912	0.132854968309402	0.707114219665527
"Unclassified Proteobacteria Phylum"	0.143461555904901	0.143461555904901	0.707114219665527	0.452370405197144	1
"Unclassified Verrucomicrobia Phylum"	0.0128583786890211	0.0128583786890211	0.132854968309402	0.259656310081482	1
"WPS-1_genera_incertae_sedis"	0.0897451171831732	0.0897451171831732	0.259656310081482	0.0241705514490604	0.259656310081482
