"OTU"	"Location"	"Soil Type"	"Hit_Ratio"	"Num_Valid_Reads"	"postRareQ50_otuCount"
"Acidobacteria"	0.00677692893329092	0.00677692893329092	0.265709936618805	0.206663284036848	0.989959907531738
"Actinobacteria"	0.0681205075891049	0.0681205075891049	0.265709936618805	0.112795906762282	0.989959907531738
"Bacteroidetes"	0.0153551064002992	0.0153551064002992	0.265709936618805	0.140674748768409	0.989959907531738
"Candidatus Saccharibacteria"	0.0152863527784442	0.0152863527784442	0.277740210294724	0.366406291723251	1
"Chlamydiae"	0.415170281279348	0.415170281279348	1	0.707114219665527	1
"Chloroflexi"	0.00677692893329092	0.00677692893329092	0.330471667376432	0.206663284036848	0.989959907531738
"Firmicutes"	0.0959119133555956	0.0959119133555956	0.487168128673847	0.707114219665527	0.989959907531738
"Gemmatimonadetes"	0.0153551064002992	0.0153551064002992	0.265709936618805	0.140674748768409	0.989959907531738
"Nitrospirae"	0.178883624189332	0.178883624189332	0.265709936618805	0.112795906762282	0.989959907531738
"Planctomycetes"	0.296217755883821	0.296217755883821	0.487168128673847	0.330471667376432	1
"Proteobacteria"	0.00261594357621164	0.00261594357621164	0.265709936618805	0.140674748768409	0.989959907531738
"Thaumarchaeota"	0.296217755883821	0.296217755883821	0.265709936618805	0.330471667376432	1
"Verrucomicrobia"	0.00677692893329092	0.00677692893329092	0.330471667376432	0.206663284036848	0.989959907531738
"candidate division WPS-1"	0.125643164056442	0.125643164056442	0.330471667376432	0.112795906762282	0.989959907531738
