"OTU"	"Location"	"Soil Type"	"Hit_Ratio"	"Num_Valid_Reads"	"postRareQ50_otuCount"
"Acidobacteria"	0.0495346134356267	0.0495346134356267	0.0644454672469992	0.0522011876306112	0.196723706531592
"Actinobacteria"	0.0495346134356267	0.0495346134356267	0.0447798996396164	0.0033215632593876	0.0528997872755919
"Bacteroidetes"	0.0495346134356267	0.0495346134356267	0.0711247691670995	0.0484180650325021	0.172355011122031
"Candidatus Saccharibacteria"	0.0369039536137182	0.0369039536137182	0.104626613006518	0.0966426793719188	0.258805730518058
"Chlamydiae"	0.275233524074834	0.275233524074834	0.643259332346483	0.210087484035574	0.0830596990408611
"Chloroflexi"	0.0495346134356267	0.0495346134356267	0.204343191499501	0.0953206626550294	0.156271422241319
"Firmicutes"	0.0495346134356267	0.0495346134356267	0.522837650241934	0.302795417881811	0.280380088650165
"Gemmatimonadetes"	0.0495346134356267	0.0495346134356267	0.0365131601274097	0.084318171830565	0.340854433936854
"Nitrospirae"	0.0495346134356267	0.0495346134356267	0.0396717585524122	0.0650546187517391	0.282649160353932
"Planctomycetes"	0.126630457947617	0.126630457947617	0.393504189254364	0.0986482048434362	0.0534849191226176
"Proteobacteria"	0.0495346134356267	0.0495346134356267	0.111700396816919	0.0470797044506402	0.12906576394149
"Thaumarchaeota"	0.275233524074834	0.275233524074834	0.292383956322668	0.212140899863827	0.296203772729207
"Verrucomicrobia"	0.0495346134356267	0.0495346134356267	0.112123997611984	0.0583001664114367	0.160210656805721
"candidate division WPS-1"	0.0495346134356267	0.0495346134356267	0.37104029312862	0.15451237332485	0.156822027517498
