"OTU"	"Location"	"Soil Type"	"Hit_Ratio"	"Num_Valid_Reads"	"postRareQ50_otuCount"
"Acidobacteria"	0.00172095007716206	0.00172095007716206	0.0602891445159912	0.132854968309402	0.707114219665527
"Actinobacteria"	0.0389260043366314	0.0389260043366314	0.13285493850708	0.00853492133319378	0.132854968309402
"Bacteroidetes"	0.00699403026957757	0.00699403026957757	0.13285493850708	0.0602891780436039	0.452370345592499
"Candidatus Saccharibacteria"	0.00545941170658723	0.00545941170658723	0.158708691596985	0.314062535762787	1
"Chlamydiae"	0.415170281279348	0.415170281279348	1	0.707114219665527	1
"Chloroflexi"	0.00193626540951169	0.00193626540951169	0.259656310081482	0.132854968309402	0.707114219665527
"Firmicutes"	0.06165765858574	0.06165765858574	0.452370405197144	0.707114219665527	0.707114219665527
"Gemmatimonadetes"	0.0076775532001496	0.0076775532001496	0.13285493850708	0.0602891780436039	0.452370345592499
"Nitrospirae"	0.140551419005904	0.140551419005904	0.0602891445159912	0.0241705514490604	0.259656310081482
"Planctomycetes"	0.275059344749263	0.275059344749263	0.452370345592499	0.259656310081482	1
"Proteobacteria"	0.000186853112586546	0.000186853112586546	0.132854968309402	0.0602891445159912	0.452370405197144
"Thaumarchaeota"	0.273795432564183	0.273795432564183	0.13285493850708	0.259656310081482	1
"Verrucomicrobia"	0.00113986125089851	0.00113986125089851	0.259656310081482	0.13285493850708	0.707114219665527
"candidate division WPS-1"	0.0897451171831732	0.0897451171831732	0.259656310081482	0.0241705514490604	0.259656310081482
