"OTU"	"Location"	"Soil Type"	"Hit_Ratio"	"Num_Valid_Reads"	"postRareQ50_otuCount"
"Acidobacteria"	0.971150645566659	0.971150645566659	0.537777777777778	0.36	0.04
"Actinobacteria"	0.703293915459264	0.703293915459264	0.36	1	0.36
"Bacteroidetes"	0.941419255536391	0.941419255536391	0.36	0.537777777777778	0.111111111111111
"Candidatus Saccharibacteria"	0.978456550540072	0.978456550540072	0.355555555555556	0.2	0
"Chlamydiae"	0.198931092679286	0.198931092679286	0.00444444444444444	0.04	0.00444444444444444
"Chloroflexi"	0.95823911225765	0.95823911225765	0.217777777777778	0.36	0.04
"Firmicutes"	0.777472570096498	0.777472570096498	0.111111111111111	0.04	0.04
"Gemmatimonadetes"	0.860913086050719	0.860913086050719	0.36	0.537777777777778	0.111111111111111
"Nitrospirae"	0.568209282646938	0.568209282646938	0.537777777777778	0.751111111111111	0.217777777777778
"Planctomycetes"	0.343666146132056	0.343666146132056	0.111111111111111	0.217777777777778	0.00444444444444444
"Proteobacteria"	0.9777734941037	0.9777734941037	0.36	0.537777777777778	0.111111111111111
"Thaumarchaeota"	0.328304590846176	0.328304590846176	0.36	0.217777777777778	0.00444444444444444
"Verrucomicrobia"	0.974332418541771	0.974332418541771	0.217777777777778	0.36	0.04
"candidate division WPS-1"	0.661122454696531	0.661122454696531	0.217777777777778	0.751111111111111	0.217777777777778
